C1,.1uF,CAPC1608X85,6.000,4.600,90.0,TOP
C3,.1uF,CAPC1608X85,24.000,3.000,90.0,TOP
C4,.1uF,CAPC1608X85,11.400,6.800,90.0,TOP
R1,100R,RESC1608X60,11.303,9.882,270.0,TOP
R3,100R,RESC1608X60,18.741,1.456,180.0,TOP
R7,100R,RESC1608X60,7.600,4.700,90.0,TOP
C2,100pf 50V,CAPC1608X85,6.000,10.300,90.0,TOP
C5,100pf 50V,CAPC1608X85,24.000,9.000,90.0,TOP
C6,100pf 50V,CAPC1608X85,24.000,6.000,90.0,TOP
R2,10K,RESC1608X60,9.241,9.821,90.0,TOP
R4,10K,RESC1608X60,15.841,1.431,0.0,TOP
R5,10K,RESC1608X60,11.163,3.975,180.0,TOP
R6,10K,RESC1608X60,11.136,1.953,0.0,TOP
C7,10Uf 10V,CAPC1608X85,6.800,7.300,180.0,TOP
J2,4x1,HDR4X1EDGE,29.331,9.779,0.0,TOP
U1,MCP6009,SO14,17.659,6.980,270.0,TOP
